Occupation,Detailed Work Activity,Code,Group
Orthodontists,"Examine mouth, teeth, gums, or related facial structures.",29-1023.00,Dental and Oral Health Professionals
Orthodontists,Communicate detailed medical information to patients or family members.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Advise patients on effects of health conditions or treatments.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Confer with clients to discuss treatment plans or progress.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Record patient medical histories.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Train medical providers.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Collaborate with healthcare professionals to plan or provide treatment.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Design medical devices or appliances.,29-1023.00,Dental and Oral Health Professionals
Orthodontists,Fabricate medical devices.,29-1023.00,Dental and Oral Health Professionals
Prosthodontists,Measure the physical or physiological attributes of patients.,29-1024.00,Dental and Oral Health Professionals
Prosthodontists,Adjust dental devices or appliances to ensure fit.,29-1024.00,Dental and Oral Health Professionals
Prosthodontists,Design medical devices or appliances.,29-1024.00,Dental and Oral Health Professionals
Prosthodontists,Adjust prostheses or other assistive devices.,29-1024.00,Dental and Oral Health Professionals
Prosthodontists,Collaborate with healthcare professionals to plan or provide treatment.,29-1024.00,Dental and Oral Health Professionals
Prosthodontists,Treat dental problems or diseases.,29-1024.00,Dental and Oral Health Professionals
Dietitians and Nutritionists,Analyze patient data to determine patient needs or treatment goals.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Monitor nutrition related activities of individuals or groups.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Analyze laboratory findings.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Interpret cultural or religious information for others.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Collaborate with healthcare professionals to plan or provide treatment.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Compile data or documentation.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Create new recipes or food presentations.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Plan menu options.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Direct healthcare delivery programs.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Advise communities or institutions regarding health or safety issues.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Manage healthcare operations.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Supervise medical support personnel.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Train caregivers or other non-medical personnel.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Monitor medical facility activities to ensure adherence to standards or regulations.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Prepare healthcare training materials.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Manage preparation of special meals or diets.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Conduct health or safety training programs.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Conduct research to increase knowledge about medical issues.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Train medical providers.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Order medical supplies or equipment.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Design public or employee health programs.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Devise research or testing protocols.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Evaluate data quality.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Present medical research reports.,29-1031.00,Allied Health Professionals
Dietitians and Nutritionists,Consult with others regarding safe or healthy equipment or facilities.,29-1031.00,Allied Health Professionals
Optometrists,Test patient vision.,29-1041.00,Allied Health Professionals
Optometrists,Analyze test data or images to inform diagnosis or treatment.,29-1041.00,Allied Health Professionals
Optometrists,Develop medical treatment plans.,29-1041.00,Allied Health Professionals
Optometrists,"Fit eyeglasses, contact lenses, or other vision aids.",29-1041.00,Allied Health Professionals
Optometrists,Prescribe assistive medical devices or related treatments.,29-1041.00,Allied Health Professionals
Optometrists,Prescribe medications.,29-1041.00,Allied Health Professionals
Optometrists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1041.00,Allied Health Professionals
Optometrists,Monitor patients following surgeries or other treatments.,29-1041.00,Allied Health Professionals
Optometrists,"Treat acute illnesses, infections, or injuries.",29-1041.00,Allied Health Professionals
Optometrists,Collaborate with healthcare professionals to plan or provide treatment.,29-1041.00,Allied Health Professionals
Optometrists,Refer patients to other healthcare practitioners or health resources.,29-1041.00,Allied Health Professionals
Optometrists,Prescribe treatments or therapies.,29-1041.00,Allied Health Professionals
Optometrists,Treat chronic diseases or disorders.,29-1041.00,Allied Health Professionals
Pharmacists,Verify accuracy of patient information.,29-1051.00,Allied Health Professionals
Pharmacists,Advise patients on effects of health conditions or treatments.,29-1051.00,Allied Health Professionals
Pharmacists,Communicate detailed medical information to patients or family members.,29-1051.00,Allied Health Professionals
Pharmacists,Maintain medical facility records.,29-1051.00,Allied Health Professionals
Pharmacists,Advise medical personnel regarding healthcare issues.,29-1051.00,Allied Health Professionals
Pharmacists,Collaborate with healthcare professionals to plan or provide treatment.,29-1051.00,Allied Health Professionals
Pharmacists,Determine protocols for medical procedures.,29-1051.00,Allied Health Professionals
Pharmacists,Maintain inventory of medical supplies or equipment.,29-1051.00,Allied Health Professionals
Pharmacists,Order medical supplies or equipment.,29-1051.00,Allied Health Professionals
Pharmacists,Prepare medications or medical solutions.,29-1051.00,Allied Health Professionals
Pharmacists,Recommend types of assistive devices.,29-1051.00,Allied Health Professionals
Pharmacists,Manage healthcare operations.,29-1051.00,Allied Health Professionals
Pharmacists,Merchandise healthcare products or services.,29-1051.00,Allied Health Professionals
Pharmacists,Train medical providers.,29-1051.00,Allied Health Professionals
Pharmacists,Instruct patients in the use of assistive equipment.,29-1051.00,Allied Health Professionals
Pharmacists,Treat chronic diseases or disorders.,29-1051.00,Allied Health Professionals
Pharmacists,Refer patients to other healthcare practitioners or health resources.,29-1051.00,Allied Health Professionals
Pharmacists,Present medical research reports.,29-1051.00,Allied Health Professionals
Pharmacists,Calculate numerical data for medical activities.,29-1051.00,Allied Health Professionals
Physician Assistants,Diagnose medical conditions.,29-1071.00,Allied Health Professionals
Physician Assistants,Prescribe treatments or therapies.,29-1071.00,Allied Health Professionals
Physician Assistants,Record patient medical histories.,29-1071.00,Allied Health Professionals
Physician Assistants,Analyze test data or images to inform diagnosis or treatment.,29-1071.00,Allied Health Professionals
Physician Assistants,"Collect medical information from patients, family members, or other medical professionals.",29-1071.00,Allied Health Professionals
Physician Assistants,Examine patients to assess general physical condition.,29-1071.00,Allied Health Professionals
Physician Assistants,Prescribe medications.,29-1071.00,Allied Health Professionals
Physician Assistants,Order medical diagnostic or clinical tests.,29-1071.00,Allied Health Professionals
Physician Assistants,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1071.00,Allied Health Professionals
Physician Assistants,Administer intravenous medications.,29-1071.00,Allied Health Professionals
Physician Assistants,Immunize patients.,29-1071.00,Allied Health Professionals
Physician Assistants,Monitor patient progress or responses to treatments.,29-1071.00,Allied Health Professionals
Physician Assistants,Assist healthcare practitioners during surgery.,29-1071.00,Allied Health Professionals
Physician Assistants,Supervise patient care personnel.,29-1071.00,Allied Health Professionals
Physician Assistants,Order medical supplies or equipment.,29-1071.00,Allied Health Professionals
Anesthesiologist Assistants,Adjust settings or positions of medical equipment.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Assist healthcare practitioners during examinations or treatments.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,"Monitor patient conditions during treatments, procedures, or activities.",29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Implement advanced life support techniques.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Treat medical emergencies.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Administer blood or other fluids intravenously.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Record patient medical histories.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Gather medical information from patient histories.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Maintain inventory of medical supplies or equipment.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Examine medical instruments or equipment to ensure proper operation.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Maintain medical equipment or instruments.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Monitor patient progress or responses to treatments.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Administer anesthetics or sedatives to control pain.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Supervise patient care personnel.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Train medical providers.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Collect biological specimens from patients.,29-1071.01,Allied Health Professionals
Anesthesiologist Assistants,Maintain medical or professional knowledge.,29-1071.01,Allied Health Professionals
Podiatrists,Treat chronic diseases or disorders.,29-1081.00,Allied Health Professionals
Podiatrists,Analyze test data or images to inform diagnosis or treatment.,29-1081.00,Allied Health Professionals
Podiatrists,Diagnose medical conditions.,29-1081.00,Allied Health Professionals
Podiatrists,Advise patients on preventive care techniques.,29-1081.00,Allied Health Professionals
Podiatrists,Prescribe assistive medical devices or related treatments.,29-1081.00,Allied Health Professionals
Podiatrists,Prescribe medications.,29-1081.00,Allied Health Professionals
Podiatrists,Prescribe treatments or therapies.,29-1081.00,Allied Health Professionals
Podiatrists,Operate on patients to treat conditions.,29-1081.00,Allied Health Professionals
Podiatrists,Refer patients to other healthcare practitioners or health resources.,29-1081.00,Allied Health Professionals
Podiatrists,Adjust prostheses or other assistive devices.,29-1081.00,Allied Health Professionals
Podiatrists,Fabricate medical devices.,29-1081.00,Allied Health Professionals
Podiatrists,Maintain medical facility records.,29-1081.00,Allied Health Professionals
Podiatrists,Manage healthcare operations.,29-1081.00,Allied Health Professionals
Podiatrists,Order medical supplies or equipment.,29-1081.00,Allied Health Professionals
Podiatrists,Communicate health and wellness information to the public.,29-1081.00,Allied Health Professionals
Podiatrists,Treat patients using alternative medical procedures.,29-1081.00,Allied Health Professionals
Occupational Therapists,Analyze patient data to determine patient needs or treatment goals.,29-1122.00,Allied Health Professionals
Occupational Therapists,"Evaluate patient functioning, capabilities, or health.",29-1122.00,Allied Health Professionals
Occupational Therapists,Record patient medical histories.,29-1122.00,Allied Health Professionals
Occupational Therapists,Design public or employee health programs.,29-1122.00,Allied Health Professionals
Occupational Therapists,Direct healthcare delivery programs.,29-1122.00,Allied Health Professionals
Occupational Therapists,Develop treatment plans that use non-medical therapies.,29-1122.00,Allied Health Professionals
Occupational Therapists,Monitor patient progress or responses to treatments.,29-1122.00,Allied Health Professionals
Occupational Therapists,Prepare reports summarizing patient diagnostic or care activities.,29-1122.00,Allied Health Professionals
Occupational Therapists,Train caregivers or other non-medical personnel.,29-1122.00,Allied Health Professionals
Occupational Therapists,Clean medical equipment or facilities.,29-1122.00,Allied Health Professionals
Occupational Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1122.00,Allied Health Professionals
Occupational Therapists,Prepare medical supplies or equipment for use.,29-1122.00,Allied Health Professionals
Occupational Therapists,Design medical devices or appliances.,29-1122.00,Allied Health Professionals
Occupational Therapists,Fabricate medical devices.,29-1122.00,Allied Health Professionals
Occupational Therapists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1122.00,Allied Health Professionals
Occupational Therapists,Supervise patient care personnel.,29-1122.00,Allied Health Professionals
Occupational Therapists,Train medical providers.,29-1122.00,Allied Health Professionals
Occupational Therapists,Conduct research to increase knowledge about medical issues.,29-1122.00,Allied Health Professionals
Occupational Therapists,Advise communities or institutions regarding health or safety issues.,29-1122.00,Allied Health Professionals
Occupational Therapists,Encourage patients or clients to develop life skills.,29-1122.00,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Instruct patients in the use of assistive equipment.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Recommend types of assistive devices.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Develop treatment plans that use non-medical therapies.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Prepare reports summarizing patient diagnostic or care activities.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists","Evaluate patient functioning, capabilities, or health.",29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Advocate for individual or community needs.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Teach life skills or strategies to clients or their families.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Train caregivers or other non-medical personnel.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Monitor patient progress or responses to treatments.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Diagnose medical conditions.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Prepare healthcare training materials.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Maintain medical or professional knowledge.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Maintain medical equipment or instruments.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Collaborate with healthcare professionals to plan or provide treatment.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Analyze patient data to determine patient needs or treatment goals.,29-1122.01,Allied Health Professionals
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Refer patients to other healthcare practitioners or health resources.,29-1122.01,Allied Health Professionals
Physical Therapists,Record patient medical histories.,29-1123.00,Allied Health Professionals
Physical Therapists,Analyze patient data to determine patient needs or treatment goals.,29-1123.00,Allied Health Professionals
Physical Therapists,Examine patients to assess general physical condition.,29-1123.00,Allied Health Professionals
Physical Therapists,Develop medical treatment plans.,29-1123.00,Allied Health Professionals
Physical Therapists,Enter patient or treatment data into computers.,29-1123.00,Allied Health Professionals
Physical Therapists,Process healthcare paperwork.,29-1123.00,Allied Health Professionals
Physical Therapists,Treat patients using physical therapy techniques.,29-1123.00,Allied Health Professionals
Physical Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1123.00,Allied Health Professionals
Physical Therapists,Evaluate patient outcomes to determine effectiveness of treatments.,29-1123.00,Allied Health Professionals
Physical Therapists,Monitor patient progress or responses to treatments.,29-1123.00,Allied Health Professionals
Physical Therapists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1123.00,Allied Health Professionals
Physical Therapists,Supervise medical support personnel.,29-1123.00,Allied Health Professionals
Physical Therapists,Test patient heart or lung functioning.,29-1123.00,Allied Health Professionals
Physical Therapists,Establish treatment goals.,29-1123.00,Allied Health Professionals
Physical Therapists,Communicate health and wellness information to the public.,29-1123.00,Allied Health Professionals
Physical Therapists,Explain medical procedures or test results to patients or family members.,29-1123.00,Allied Health Professionals
Physical Therapists,Refer patients to other healthcare practitioners or health resources.,29-1123.00,Allied Health Professionals
Physical Therapists,Communicate detailed medical information to patients or family members.,29-1123.00,Allied Health Professionals
Physical Therapists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1123.00,Allied Health Professionals
Physical Therapists,Fabricate medical devices.,29-1123.00,Allied Health Professionals
Physical Therapists,Adjust prostheses or other assistive devices.,29-1123.00,Allied Health Professionals
Physical Therapists,Advise medical personnel regarding healthcare issues.,29-1123.00,Allied Health Professionals
Physical Therapists,Train medical providers.,29-1123.00,Allied Health Professionals
Physical Therapists,Conduct research to increase knowledge about medical issues.,29-1123.00,Allied Health Professionals
Physical Therapists,Advise others on matters of public policy.,29-1123.00,Allied Health Professionals
Physical Therapists,Design public or employee health programs.,29-1123.00,Allied Health Professionals
Physical Therapists,Direct healthcare delivery programs.,29-1123.00,Allied Health Professionals
Radiation Therapists,Administer cancer treatments.,29-1124.00,Allied Health Professionals
Radiation Therapists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1124.00,Allied Health Professionals
Radiation Therapists,Position patients for treatment or examination.,29-1124.00,Allied Health Professionals
Radiation Therapists,Protect patients or staff members using safety equipment.,29-1124.00,Allied Health Professionals
Radiation Therapists,Verify accuracy of patient information.,29-1124.00,Allied Health Professionals
Radiation Therapists,Adjust settings or positions of medical equipment.,29-1124.00,Allied Health Professionals
Radiation Therapists,Enter patient or treatment data into computers.,29-1124.00,Allied Health Professionals
Radiation Therapists,Examine medical instruments or equipment to ensure proper operation.,29-1124.00,Allied Health Professionals
Radiation Therapists,Inform medical professionals regarding patient conditions and care.,29-1124.00,Allied Health Professionals
Radiation Therapists,"Monitor patient conditions during treatments, procedures, or activities.",29-1124.00,Allied Health Professionals
Radiation Therapists,Explain medical procedures or test results to patients or family members.,29-1124.00,Allied Health Professionals
Radiation Therapists,Interact with patients to build rapport or provide emotional support.,29-1124.00,Allied Health Professionals
Radiation Therapists,Maintain medical facility records.,29-1124.00,Allied Health Professionals
Radiation Therapists,Examine patients to assess general physical condition.,29-1124.00,Allied Health Professionals
Radiation Therapists,Fabricate medical devices.,29-1124.00,Allied Health Professionals
Radiation Therapists,Calculate numerical data for medical activities.,29-1124.00,Allied Health Professionals
Radiation Therapists,Develop medical treatment plans.,29-1124.00,Allied Health Professionals
Radiation Therapists,Operate diagnostic imaging equipment.,29-1124.00,Allied Health Professionals
Radiation Therapists,Process x-rays or other medical images.,29-1124.00,Allied Health Professionals
Radiation Therapists,Assist healthcare practitioners during examinations or treatments.,29-1124.00,Allied Health Professionals
Radiation Therapists,Schedule patient procedures or appointments.,29-1124.00,Allied Health Professionals
Radiation Therapists,Supervise patient care personnel.,29-1124.00,Allied Health Professionals
Radiation Therapists,Train medical providers.,29-1124.00,Allied Health Professionals
Radiation Therapists,Prepare medications or medical solutions.,29-1124.00,Allied Health Professionals
Radiation Therapists,Sterilize medical equipment or instruments.,29-1124.00,Allied Health Professionals
Recreational Therapists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1125.00,Allied Health Professionals
Recreational Therapists,Develop treatment plans that use non-medical therapies.,29-1125.00,Allied Health Professionals
Recreational Therapists,Treat patients using psychological therapies.,29-1125.00,Allied Health Professionals
Recreational Therapists,Monitor patient progress or responses to treatments.,29-1125.00,Allied Health Professionals
Recreational Therapists,Record patient medical histories.,29-1125.00,Allied Health Professionals
Recreational Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1125.00,Allied Health Professionals
Recreational Therapists,"Collect medical information from patients, family members, or other medical professionals.",29-1125.00,Allied Health Professionals
Recreational Therapists,Gather medical information from patient histories.,29-1125.00,Allied Health Professionals
Recreational Therapists,"Provide health and wellness advice to patients, program participants, or caregivers.",29-1125.00,Allied Health Professionals
Recreational Therapists,Encourage patients or clients to develop life skills.,29-1125.00,Allied Health Professionals
Recreational Therapists,Inform medical professionals regarding patient conditions and care.,29-1125.00,Allied Health Professionals
Recreational Therapists,Prepare reports summarizing patient diagnostic or care activities.,29-1125.00,Allied Health Professionals
Recreational Therapists,Develop medical treatment plans.,29-1125.00,Allied Health Professionals
Respiratory Therapists,Implement advanced life support techniques.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Treat medical emergencies.,29-1126.00,Allied Health Professionals
Respiratory Therapists,"Monitor patient conditions during treatments, procedures, or activities.",29-1126.00,Allied Health Professionals
Respiratory Therapists,Inform medical professionals regarding patient conditions and care.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Assist healthcare practitioners during examinations or treatments.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Collaborate with healthcare professionals to plan or provide treatment.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Maintain medical facility records.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Prepare medical supplies or equipment for use.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Gather medical information from patient histories.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Clean medical equipment or facilities.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Communicate test or assessment results to medical professionals.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Examine medical instruments or equipment to ensure proper operation.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Maintain medical equipment or instruments.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Explain medical procedures or test results to patients or family members.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Determine protocols for medical procedures.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Repair medical facility equipment.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Verify that medical activities or operations meet standards.,29-1126.00,Allied Health Professionals
Respiratory Therapists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1126.00,Allied Health Professionals
Respiratory Therapists,Treat chronic diseases or disorders.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Test patient heart or lung functioning.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Adjust settings or positions of medical equipment.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Train medical providers.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Move patients to or from treatment areas.,29-1126.00,Allied Health Professionals
Respiratory Therapists,Supervise patient care personnel.,29-1126.00,Allied Health Professionals
Speech-Language Pathologists,Prepare reports summarizing patient diagnostic or care activities.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Analyze patient data to determine patient needs or treatment goals.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Maintain medical facility records.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Develop treatment plans that use non-medical therapies.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Monitor patient progress or responses to treatments.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Operate diagnostic or therapeutic medical instruments or equipment.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Test patient hearing.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,"Train patients, family members, or caregivers in techniques for managing disabilities or illnesses.",29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Collaborate with healthcare professionals to plan or provide treatment.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Supervise patient care personnel.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Advise medical personnel regarding healthcare issues.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Prepare healthcare training materials.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Process healthcare paperwork.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Schedule patient procedures or appointments.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Refer patients to other healthcare practitioners or health resources.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Develop health assessment methods or programs.,29-1127.00,Allied Health Professionals
Speech-Language Pathologists,Train caregivers or other non-medical personnel.,29-1127.00,Allied Health Professionals
